Country,Year,ag_land_index,labor_index
Argentina,1961,56.5905,121.8413
Argentina,1962,57.9109,129.1293
Argentina,1963,58.8654,136.3762
Argentina,1964,59.7527,136.1657
Argentina,1965,60.7821,134.812
Argentina,1966,63.4373,130.0027
Argentina,1967,65.1325,132.56
Argentina,1968,68.6468,122.6055
Argentina,1969,73.4494,120.9837
Argentina,1970,73.7644,120.345
Argentina,1971,73.8356,118.2133
Argentina,1972,73.9046,116.347
Argentina,1973,73.9979,114.4855
Argentina,1974,74.0668,112.8554
Argentina,1975,74.1381,116.6695
Argentina,1976,74.1429,109.1027
Argentina,1977,74.15,104.4802
Argentina,1978,74.1548,103.6947
Argentina,1979,74.1619,101.3312
Argentina,1980,74.169,98.6523
Argentina,1981,74.1738,97.5708
Argentina,1982,76.552,96.3109
Argentina,1983,76.5592,98.4165
Argentina,1984,76.564,98.8943
Argentina,1985,76.5688,100.0519
Argentina,1986,76.5759,103.6615
Argentina,1987,76.1074,102.0745
Argentina,1988,75.0897,103.1228
Argentina,1989,75.352,104.0074
Argentina,1990,75.6308,105.0784
Argentina,1991,75.9095,105.5292
Argentina,1992,76.1971,103.8864
Argentina,1993,76.467,103.0166
Argentina,1994,76.7507,102.2944
Argentina,1995,77.0297,98.5347
Argentina,1996,77.2867,96.9726
Argentina,1997,77.5363,96.6524
Argentina,1998,77.7908,95.8167
Argentina,1999,78.0122,94.2201
Argentina,2000,78.2782,91.922
Argentina,2001,78.5327,89.479
Argentina,2002,78.8794,89.4481
Argentina,2003,83.5323,85.5142
Argentina,2004,88.2626,86.9888
Argentina,2005,93.0663,88.9748
Argentina,2006,97.3707,89.1446
Argentina,2007,100.7667,90.0546
Argentina,2008,97.6522,91.2724
Argentina,2009,95.0181,90.4924
Argentina,2010,103.4298,91.6858
Argentina,2011,105.0308,90.5877
Argentina,2012,107.2781,89.7871
Argentina,2013,106.6191,86.9852
Argentina,2014,103.3096,90.4539
Argentina,2015,100,100
Argentina,2016,96.6904,86.2067
Argentina,2017,93.3809,88.0099
Argentina,2018,90.2309,87.126
Argentina,2019,90.2309,87.126
Australia,1961,91.9139,140.1594
Australia,1962,93.9286,139.8631
Australia,1963,94.1963,139.2704
Australia,1964,96.0305,138.6778
Australia,1965,98.3174,137.7888
Australia,1966,100.642,136.8999
Australia,1967,101.6764,136.0109
Australia,1968,108.2266,134.8256
Australia,1969,105.5595,133.344
Australia,1970,101.3908,139.3832
Australia,1971,99.981,132.5088
Australia,1972,100.2794,142.0816
Australia,1973,96.9948,136.9097
Australia,1974,97.1472,130.0353
Australia,1975,95.3188,127.7546
Australia,1976,96.7669,123.5464
Australia,1977,95.9437,128.5898
Australia,1978,99.1531,120.4305
Australia,1979,99.6442,128.1722
Australia,1980,100.7346,130.8384
Australia,1981,101.6319,133.601
Australia,1982,102.6286,132.3161
Australia,1983,101.3159,133.601
Australia,1984,105.2139,129.2965
Australia,1985,104.2941,132.2326
Australia,1986,101.3403,136.2653
Australia,1987,100.301,132.1083
Australia,1988,98.4681,138.3103
Australia,1989,96.8157,136.5895
Australia,1990,95.6235,139.9852
Australia,1991,96.0592,131.8436
Australia,1992,95.258,123.5059
Australia,1993,95.7215,125.2708
Australia,1994,98.6559,123.841
Australia,1995,96.3834,125.3203
Australia,1996,99.975,128.8493
Australia,1997,101.9479,131.4414
Australia,1998,102.8131,132.0379
Australia,1999,103.4621,136.7973
Australia,2000,104.6803,138.2637
Australia,2001,105.9986,137.2727
Australia,2002,104.147,129.0283
Australia,2003,102.3639,117.8696
Australia,2004,99.3594,114.319
Australia,2005,102.5389,113.3071
Australia,2006,99.3354,110.5625
Australia,2007,96.2717,111.0161
Australia,2008,96.1326,110.7417
Australia,2009,99.818,111.9476
Australia,2010,96.4868,114.0578
Australia,2011,107.9959,101.2502
Australia,2012,106.5504,101.868
Australia,2013,103.7691,96.141
Australia,2014,105.1385,103.9245
Australia,2015,100,100
Australia,2016,97.7547,100.9316
Australia,2017,103.021,102.2785
Australia,2018,101.4512,105.8978
Australia,2019,101.432,105.965
Brazil,1961,47.7614,123.1871
Brazil,1962,48.6321,124.0873
Brazil,1963,49.4903,124.9858
Brazil,1964,50.361,125.882
Brazil,1965,51.2443,126.7753
Brazil,1966,52.115,127.6649
Brazil,1967,52.9982,128.5501
Brazil,1968,53.8689,129.4302
Brazil,1969,54.7522,130.3046
Brazil,1970,55.647,131.1725
Brazil,1971,57.4187,135.8723
Brazil,1972,59.1854,140.524
Brazil,1973,60.9521,151.9133
Brazil,1974,62.7188,149.6625
Brazil,1975,64.5342,147.3793
Brazil,1976,68.9406,147.3793
Brazil,1977,73.3718,155.3614
Brazil,1978,77.8029,148.6815
Brazil,1979,82.234,147.7232
Brazil,1980,86.5701,130.2306
